Courier,Date,ID,Order Status,Price,Product,Selled,PriceTotal,SplitCount,SplitIndex,DateOriginal,SourceFile,SourceRow
Vinted Go,2026-02-04,1,Shipped,3.0,Bases - Stranger Things,Vinted,3.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,1
InPost,2026-02-04,2,Shipped,7.0,Suporte - Back To The Future,Vinted,14.0,2,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,2
InPost,2026-02-04,2,Shipped,7.0,Suporte - Cars,Vinted,14.0,2,2,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,2
InPost,2026-02-04,3,Shipped,6.65,Suporte - Ferrari,Vinted,13.3,2,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,3
InPost,2026-02-04,3,Shipped,6.65,Suporte - Mercedes,Vinted,13.3,2,2,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,3
Vinted Go,2026-02-04,4,Shipped,7.0,Suporte - Back To The Future,Vinted,7.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,4
Vinted Go,2026-02-04,5,Shipped,6.0,Suporte - Cars,Vinted,6.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,5
Vinted Go,2026-02-04,7,Shipped,3.0,Bases - Stranger Things,Vinted,3.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,6
Vinted Go,2026-02-04,6,Shipped,6.0,Suporte - Cars,Vinted,6.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,7
Vinted Go,2026-02-05,9,Shipped,3.0,Bases - Stranger Things,Vinted,3.0,1,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,8
InPost,2026-02-05,11,Shipped,6.0,Suporte - Back To The Future,Vinted,6.0,1,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,9
Vinted Go,2026-02-05,10,Shipped,9.0,Suporte - Cars,Vinted,9.0,1,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,10
Vinted Go,2026-02-05,12,Shipped,6.0,Suporte - Cars,Vinted,6.0,1,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,11
Vinted Go,2026-02-05,13,Shipped,5.0,Suporte - Cars,Vinted,5.0,1,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,12
Vinted Go,2026-02-04,8,Shipped,6.0,Suporte - Back To The Future,Vinted,6.0,1,1,4-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,13
Vinted Go,2026-02-05,14,Shipped,5.0,Suporte - Back To The Future,Vinted,10.0,2,1,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,14
Vinted Go,2026-02-05,14,Shipped,5.0,Suporte - Cars,Vinted,10.0,2,2,5-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,14
Vinted Go,2026-02-06,17,Shipped,2.5,Bases - Stranger Things,Vinted,2.5,1,1,6-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,15
Vinted Go,2026-02-06,15,Shipped,7.2,Suporte - Cars,Vinted,7.2,1,1,6-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,16
Vinted Go,2026-02-06,19,Shipped,7.0,Suporte - Back To The Future,Vinted,7.0,1,1,6-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,17
InPost,2026-02-07,20,Shipped,9.0,Suporte - 007,Vinted,9.0,1,1,7-Feb-26,Order History Fev 3178f55ac2e880019354c2a203369249_all.csv,18
