Reg no,Date,Product,Courier,Order Status,Price,Publicidade?,Notas,PriceTotal,SplitCount,SplitIndex,DateOriginal,SourceFile,SourceRow
1.0,2026-03-01,Suporte - Cars,Vinted Go,Shipped,7.0,,,7.0,1,1,"March 1, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,1
2.0,2026-03-01,Suporte - Cars,InPost,Shipped,6.5,,,6.5,1,1,"March 1, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,2
3.0,2026-03-01,Suporte - Cars,InPost,Shipped,6.5,,,6.5,1,1,"March 1, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,3
4.0,2026-03-02,Suporte - Ferrari,Vinted Go,Shipped,8.5,,,8.5,1,1,"March 2, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,4
5.0,2026-03-02,Bases - Stranger Things,DPD,Shipped,3.0,,,3.0,1,1,"March 2, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,5
6.0,2026-03-02,Suporte - Cars,InPost,Canceled,0.0,,,0.0,1,1,"March 2, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,6
7.0,2026-03-02,Bases - Stranger Things,DPD,Shipped,5.0,,,5.0,1,1,"March 2, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,7
8.0,2026-03-03,Suporte - Back To The Future,Vinted Go,Shipped,6.5,,,6.5,1,1,"March 3, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,8
9.0,2026-03-03,Suporte - Fast And Furious I,,Shipped,6.0,,,6.0,1,1,"March 3, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,9
10.0,2026-03-03,Suporte - Cars,DPD,Shipped,7.0,,,7.0,1,1,"March 3, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,10
